Rainfall_mm,Temperature_C,Humidity_percent,Soil_Type,Soil_pH,Fertilizer_kg_per_acre,Pesticide_litre_per_acre,Crop_Type,Cultivated_Area_acres,Season,Risk_Category
1307,25.4,39,Clay,5.36,201,11.1,Maize,16.49,Kharif,Moderate Risk
912,30.6,73,Black,8.16,157,8.5,Cotton,10.46,Kharif,Moderate Risk
1181,30.7,38,Black,6.77,298,7.7,Rice,2.28,Summer,High Risk
1504,28.7,40,Red,7.89,93,12.7,Wheat,8.7,Rabi,High Risk
996,19.8,79,Red,6.12,275,3.9,Maize,10.45,Kharif,Low Risk
370,34.7,66,Black,8.13,261,14.6,Sugarcane,14.68,Kharif,Moderate Risk
1190,24.4,86,Black,6.36,290,11.0,Wheat,3.02,Kharif,Low Risk
516,21.7,64,Black,5.04,151,3.8,Wheat,3.66,Summer,High Risk
737,18.8,81,Clay,8.17,294,11.3,Maize,6.01,Rabi,High Risk
950,29.8,69,Black,5.32,246,8.4,Wheat,6.06,Summer,Low Risk
665,31.6,89,Sandy,6.12,268,10.9,Maize,14.91,Summer,High Risk
363,18.3,74,Loamy,8.33,105,11.7,Rice,5.76,Rabi,High Risk
591,28.2,86,Black,8.33,114,2.2,Maize,13.03,Summer,High Risk
1126,22.5,50,Loamy,7.01,142,8.1,Maize,10.39,Rabi,Moderate Risk
914,30.9,47,Clay,7.21,231,14.0,Cotton,11.89,Kharif,Low Risk
1247,21.5,84,Loamy,6.57,291,5.5,Maize,16.92,Rabi,Low Risk
441,31.8,76,Clay,6.03,265,9.3,Maize,8.68,Kharif,Low Risk
1305,25.7,64,Sandy,6.15,137,6.2,Sugarcane,15.65,Summer,Low Risk
858,36.7,53,Clay,7.35,288,7.4,Rice,9.02,Summer,High Risk
1125,20.8,51,Clay,7.63,205,8.7,Cotton,7.72,Kharif,High Risk
384,24.8,90,Red,7.77,69,8.7,Sugarcane,19.21,Summer,High Risk
555,20.3,53,Black,7.76,286,3.8,Groundnut,4.5,Rabi,Low Risk
1454,36.5,62,Black,5.32,145,10.6,Rice,2.72,Kharif,Moderate Risk
1375,35.5,89,Sandy,6.73,90,2.2,Rice,15.65,Summer,Low Risk
1371,23.2,60,Sandy,5.2,120,2.9,Groundnut,2.3,Kharif,High Risk
915,31.2,71,Black,6.92,172,1.0,Maize,16.9,Rabi,Moderate Risk
1479,34.3,60,Red,6.55,177,2.6,Sugarcane,9.31,Rabi,Low Risk
1052,29.1,87,Black,8.11,223,7.6,Wheat,18.39,Summer,Low Risk
751,28.6,57,Red,6.23,108,9.5,Cotton,14.71,Rabi,Low Risk
1079,22.8,43,Sandy,5.41,73,12.1,Wheat,12.6,Kharif,High Risk
511,19.9,46,Loamy,5.5,92,2.5,Groundnut,19.04,Rabi,Low Risk
551,35.9,87,Sandy,7.67,244,12.9,Rice,8.54,Kharif,Moderate Risk
1345,36.0,35,Sandy,7.16,165,11.4,Rice,19.13,Kharif,Low Risk
619,30.7,35,Clay,5.35,274,6.7,Cotton,3.57,Rabi,High Risk
1165,24.8,81,Clay,5.29,82,14.1,Rice,10.19,Summer,Moderate Risk
805,25.0,68,Clay,7.45,279,14.9,Rice,6.13,Rabi,Moderate Risk
1366,32.5,66,Clay,5.25,150,3.9,Cotton,11.26,Kharif,High Risk
645,35.9,88,Red,7.88,288,6.3,Sugarcane,4.08,Kharif,Moderate Risk
1069,35.7,82,Black,7.47,190,14.0,Sugarcane,16.99,Rabi,Moderate Risk
687,33.6,59,Loamy,5.28,222,11.1,Cotton,17.08,Summer,Low Risk
1228,30.8,74,Sandy,5.3,134,1.7,Groundnut,19.15,Summer,High Risk
1426,19.7,79,Red,8.45,47,11.9,Rice,3.94,Kharif,Moderate Risk
1141,21.2,87,Loamy,6.31,223,12.6,Rice,12.84,Kharif,Moderate Risk
566,36.0,35,Red,6.3,234,11.5,Groundnut,10.01,Summer,Moderate Risk
1113,30.1,50,Red,7.84,234,12.2,Sugarcane,7.54,Rabi,Moderate Risk
537,18.2,73,Sandy,8.32,194,12.6,Maize,7.68,Kharif,High Risk
729,20.0,39,Black,8.45,132,3.6,Maize,8.84,Kharif,Moderate Risk
842,31.3,56,Clay,7.64,199,4.3,Maize,14.39,Summer,High Risk
1414,18.1,63,Black,6.32,100,9.9,Sugarcane,12.37,Rabi,Low Risk
1530,21.2,89,Sandy,5.29,161,13.7,Sugarcane,9.73,Summer,Moderate Risk
364,29.0,37,Sandy,7.72,90,5.4,Groundnut,2.44,Rabi,High Risk
414,31.8,46,Sandy,6.95,44,9.2,Rice,2.48,Rabi,High Risk
870,31.0,60,Loamy,6.48,131,10.6,Groundnut,1.04,Rabi,High Risk
1502,22.5,50,Black,8.17,209,7.3,Groundnut,19.39,Kharif,Low Risk
997,32.2,85,Black,5.39,61,11.0,Sugarcane,1.1,Summer,High Risk
1436,22.7,71,Red,6.72,40,13.6,Maize,2.96,Summer,Low Risk
1512,24.5,56,Red,5.04,172,9.7,Wheat,6.98,Rabi,Low Risk
942,32.9,63,Red,6.64,272,8.6,Rice,16.34,Kharif,High Risk
741,31.0,48,Sandy,5.2,51,7.1,Sugarcane,19.28,Kharif,High Risk
768,35.0,62,Black,5.42,85,9.1,Maize,16.01,Summer,Moderate Risk
638,31.2,39,Sandy,5.41,73,6.0,Wheat,14.12,Kharif,Moderate Risk
728,29.4,81,Loamy,7.27,117,6.5,Wheat,10.9,Kharif,Low Risk
580,19.9,83,Red,7.61,257,8.4,Sugarcane,2.65,Rabi,Low Risk
1367,25.4,64,Sandy,7.04,112,1.9,Cotton,19.21,Kharif,Low Risk
390,23.3,80,Sandy,8.37,288,4.2,Rice,15.41,Rabi,Moderate Risk
1401,22.9,86,Loamy,6.31,86,8.6,Wheat,13.14,Summer,Low Risk
484,37.5,39,Clay,6.0,160,7.0,Sugarcane,15.42,Kharif,High Risk
550,25.9,46,Black,8.04,253,5.7,Sugarcane,14.76,Summer,Moderate Risk
1129,35.8,50,Clay,5.78,278,11.2,Maize,13.11,Summer,Moderate Risk
1279,30.6,60,Red,8.37,95,10.7,Cotton,19.63,Kharif,Moderate Risk
1406,33.9,60,Sandy,5.04,146,3.3,Rice,18.16,Kharif,Low Risk
1421,28.1,82,Loamy,8.39,87,13.3,Groundnut,13.29,Summer,Moderate Risk
852,29.5,55,Loamy,5.15,100,7.9,Maize,14.17,Kharif,High Risk
756,27.9,73,Black,8.12,65,11.4,Wheat,1.98,Rabi,High Risk
1154,21.9,70,Clay,6.85,296,9.0,Wheat,13.73,Rabi,Low Risk
448,32.4,67,Black,8.48,47,15.0,Maize,1.84,Kharif,High Risk
1033,23.6,64,Sandy,5.26,152,11.5,Sugarcane,12.18,Summer,High Risk
1075,18.5,71,Black,6.94,292,10.9,Wheat,19.99,Kharif,Low Risk
1310,30.9,57,Loamy,8.39,219,11.9,Cotton,11.56,Kharif,Moderate Risk
962,21.5,44,Loamy,6.83,246,3.0,Rice,9.99,Summer,Low Risk
992,36.8,88,Red,7.2,166,3.9,Cotton,6.94,Summer,Moderate Risk
1378,37.1,39,Red,7.44,95,11.0,Wheat,3.29,Rabi,Low Risk
1591,36.3,70,Sandy,6.59,253,7.9,Groundnut,14.89,Summer,High Risk
852,25.4,68,Clay,7.2,53,11.6,Rice,4.66,Rabi,Low Risk
1116,18.3,86,Black,7.05,67,2.4,Rice,3.19,Summer,High Risk
747,36.6,65,Sandy,8.15,117,8.5,Maize,9.01,Kharif,High Risk
1220,26.6,44,Red,5.16,255,6.3,Maize,16.11,Rabi,Moderate Risk
1144,37.3,53,Black,5.98,193,7.4,Groundnut,15.16,Rabi,Low Risk
742,37.3,66,Red,8.33,53,9.5,Sugarcane,2.04,Rabi,High Risk
556,35.1,35,Black,8.12,226,8.0,Rice,9.65,Kharif,High Risk
1388,23.9,90,Clay,6.59,46,8.6,Groundnut,10.93,Kharif,Low Risk
1241,25.7,39,Sandy,7.17,42,7.8,Maize,13.25,Kharif,Moderate Risk
1213,35.0,79,Black,5.97,150,6.7,Maize,13.35,Kharif,Low Risk
1092,24.3,38,Loamy,5.66,277,11.8,Rice,7.93,Kharif,High Risk
913,21.4,50,Loamy,6.62,278,1.2,Cotton,11.65,Rabi,Moderate Risk
1370,29.1,58,Black,6.24,266,9.4,Wheat,10.14,Kharif,Low Risk
445,36.7,50,Black,7.04,54,8.9,Maize,17.81,Rabi,Moderate Risk
834,31.9,89,Black,5.27,231,11.0,Sugarcane,11.08,Kharif,Moderate Risk
580,29.4,36,Loamy,8.41,158,9.4,Sugarcane,9.38,Summer,High Risk
1098,19.9,83,Loamy,8.45,67,12.6,Maize,8.69,Rabi,High Risk
1544,30.3,62,Black,7.44,241,14.4,Cotton,11.88,Summer,Low Risk
890,37.8,66,Red,6.88,78,5.8,Cotton,16.28,Rabi,Moderate Risk
1409,20.8,61,Red,6.08,270,4.2,Groundnut,11.23,Summer,Moderate Risk
874,28.4,54,Clay,7.85,125,6.9,Sugarcane,13.57,Kharif,Moderate Risk
1533,35.5,58,Sandy,7.4,165,5.0,Groundnut,15.02,Kharif,Moderate Risk
1459,32.8,46,Red,5.57,64,9.6,Sugarcane,10.88,Kharif,Low Risk
927,31.9,84,Loamy,8.19,184,13.8,Wheat,9.11,Rabi,High Risk
1031,32.0,69,Red,7.88,52,2.9,Wheat,17.66,Summer,Moderate Risk
906,25.2,67,Clay,8.32,251,2.4,Rice,8.93,Kharif,Low Risk
1362,23.9,67,Clay,7.54,64,4.6,Groundnut,9.78,Summer,Moderate Risk
995,34.2,85,Sandy,7.15,107,11.2,Maize,19.82,Summer,Low Risk
1145,34.2,77,Red,6.46,106,9.3,Groundnut,1.0,Kharif,Low Risk
1401,35.3,71,Loamy,8.26,272,2.4,Maize,4.52,Kharif,Low Risk
539,36.3,46,Loamy,8.03,148,13.9,Cotton,8.3,Summer,High Risk
1598,28.2,37,Black,5.16,185,12.1,Groundnut,18.72,Kharif,High Risk
982,28.0,35,Loamy,5.09,150,1.3,Cotton,2.33,Kharif,High Risk
